ref_cell_id_fine,X,Y,Z,Col11a2,Emilin3a,Fgf10a,Hand2,Myod1,Prdm1a,Robo3,Sox9a,Tbx5a
39,0.39325628839595395,0.15842991201893944,0.052759538702003096,0.6142585058829357,0.02386062955319192,0.11246876288794098,0.07617163912944296,0.051675240474579366,0.06200964515012081,0.11270612209486713,0.33995167048885716,0.19735546504365073
40,0.26837537884042445,0.16011943011905386,0.4410736926242427,0.6751063661314637,0.033343717369014744,0.18630333199975932,0.11167743646113168,0.07786752911396873,0.5937745406094934,0.33286617248574724,0.09301980864328999,0.06894361965438947
41,0.4871781052121001,0.10543640403621475,0.2722417505269305,0.6910845109887507,0.05997748780457573,0.1459664859079699,,0.07391096692038905,0.4855261657655701,0.32642692563600395,0.10709471708423698,0.11451990165592628
42,0.17558505092448617,0.18553675460349958,0.16012289866903565,0.3685419242877372,0.06202362235917849,0.16119611961261568,0.7287630038216927,0.18064445259317194,0.09335105546579892,0.11711071515068965,0.13510803002334762,0.7210052943686366
43,0.4021929870277337,0.192713659443223,0.1256151964413618,0.44614758534333343,0.010850171754590375,0.14860721825019962,0.1580485332046962,0.39553998216430974,0.12610159806315543,0.1372987457830901,0.13373426852096343,0.2851209984841488
44,0.10111935590320724,0.14354411422812868,0.2879032036410499,0.6873395332291079,0.01643705485071457,0.14511614068287335,0.18754794546853454,0.07952733920044626,0.5316463467940918,0.25510093498835096,0.06722040024358283,0.0961993496119676
45,0.3531253981311977,0.16926272292285915,0.16944919241743742,0.6511317822155699,0.28160942205922523,0.12641352570131398,0.42346537226618036,0.21632423778872123,0.1674473853267359,0.18767022263061417,0.32650802278515195,0.5522856519769554
46,0.06916486241146587,0.15366711991973112,0.1488592024142804,0.4721396835860988,0.016683619279342178,0.1417564074198565,0.2205351402102232,0.052678877310328984,0.3589072825003717,0.22144614487326958,0.1514402487135251,0.2963138613316641
47,0.31224192142601026,0.1572024873668681,0.23052441159371567,0.540489095770851,0.5972033241612256,0.16585228389732004,0.674135570512486,0.09301918975678361,0.11029571969817485,0.1725986939457783,0.490466546533431,0.7098561244440175
48,0.2796968425576935,0.10586423823324763,0.33591713207327817,0.48540913250225665,0.027892430876390813,0.6392764671257813,0.2213908408999293,0.07924374434925095,0.12126151675339485,0.40275593503524854,0.17789821280227613,0.5197672153448621
49,0.1963876948030795,0.1565051838997641,0.23217572845742054,0.4688825799965784,0.3597987671901176,0.2260922301079626,0.8719435318083583,0.0767676899915649,0.12448169934248744,0.129489392331656,0.3072583687714633,0.8463607678210419
50,0.3752358602165915,0.08304375497072294,0.32597685320339465,0.6863019598018637,0.029177242393781715,0.38416143611332915,,0.0638236301215497,0.16604444062708779,0.3344388687245826,0.10279520294044672,0.36686139986045846
51,0.4497569498117204,0.151644763044278,0.3452545003301577,0.8165991527434731,0.015115339616282577,0.16134835775579778,0.17546708860334412,0.06385764606981943,0.5932090214359681,0.20270783255971217,0.09166763871683292,0.07868886808948627
52,0.3909529990927348,0.07343103325225843,0.09712821090831457,0.47502862654152056,0.03385335795851499,0.12786422775246425,0.0738585979232736,0.16904002458141204,0.07627533558888658,0.12282398049913973,0.17471235748573077,0.220570530601122
53,0.2834602864819976,0.10904161488058904,0.06804639830764149,0.5707614484304105,0.19183294321181588,0.13228478006912417,0.15293803641909182,0.2717904163985686,0.10434453857840534,0.14195163984775477,0.5047818607984697,0.3604319210013924
54,0.2551447501262076,0.03501329176070393,0.11896150514361532,0.5418806197103372,0.035267472843618114,0.1492496646816969,0.08464189964398267,0.4027104015134795,0.11606068799807717,0.16598543021941822,0.14233700357013562,0.14627635391784705
55,0.122122749896987,0.13781463943094813,0.1754662632168718,0.5908924138283451,0.03133641145139993,0.20148699274355458,0.4358467648192092,0.053378948058353616,0.13493320064042408,0.2591473454947879,0.13156802643059082,0.4818659025310861
56,0.22445754094218034,0.13200022250135135,0.3285682053410712,0.6605924640371558,0.04398706087429086,0.7556472059889308,0.34906033139536663,0.07823431798572252,0.1382944756392301,0.5756450074090468,0.19461468365766413,0.48461510637046534
57,0.16749298438323834,0.12838631282012272,0.3884496444582218,0.7214813304784192,0.023348785673298844,0.1815625455489455,0.1897264368175508,0.08292779386417168,0.5689606935973257,0.30631461728915177,0.1022786304569133,0.09300955973336733
58,0.4615695766913796,0.11646567077150438,0.21580059748889385,0.5447004920892201,0.022259114072303007,0.13050676996485966,0.08386519422981029,0.05572765847159692,0.1921508932013378,0.28096968746365925,0.09532580360506751,0.3245721454998335
59,0.49745597888189647,0.12149297246056624,0.14139841331223343,0.6247209929870912,0.011680331746010297,0.09916082208151954,0.059405593305896176,0.056545466369649786,0.1164516028257238,0.14322500260333712,0.10839455339099255,0.24848171862637164
60,0.27833095192956797,0.20515717623954402,0.1518235933577242,0.5472585315058963,0.0170098797747538,0.1372684628328582,0.1495868683244947,0.7187184643171253,0.11520512860817311,0.1743315478210103,0.14235257654679578,0.1358518900067794
61,0.12617526419091293,0.13189527247033178,0.08340404478580482,0.7513880198551095,0.020897312888447653,0.15312317377701687,,0.038241335552275595,0.09584260129511696,0.14790872362136834,0.4633599578059429,0.5591234006568092
62,0.3313499705735481,0.10459121238416061,0.10777157169107439,0.39846686552683186,0.12889928590456362,0.10462929863368514,0.11540029317224146,0.19804204769758083,0.07326439908875616,0.117791310474853,0.39677360364690517,0.24934972181572448
63,0.19612716960315904,0.21217939021443794,0.07101096789088834,0.43333589976753306,0.036021007317789185,0.18293489195331905,0.23639828305950517,0.3324732060123727,0.10382287869214649,0.10909100137045569,0.1057170720424762,0.2944422487164723
64,0.32200971202990764,0.13922394821116446,0.4412332576538828,0.6072227044396348,0.014685020282151283,0.19274755947793948,0.22199013056271297,0.11830416555220855,0.7905241414615176,0.21843315508139577,0.1355074596208217,0.0894219924545212
65,0.22559806196266163,0.1510008986078936,0.11649210284280473,0.38691844321992797,0.7317885476896733,0.1253648101742254,0.6481174286955569,0.1083427953395494,0.05838594912489707,0.10102883024201462,0.3405949655438385,0.7073641505332302
66,0.2770686941377068,0.09277860489640634,0.28182584897512214,0.5331135982290321,0.18683211805725186,0.4226824343792239,0.17333185661535785,0.08428756394780175,0.09569726825118499,0.15167039731232254,0.4074090086081102,0.68668293356224
67,0.0340618615354959,0.17636054023636658,0.08496713907825315,0.6412370691721714,0.020708454276751272,0.1214214902604815,0.20780246030012586,0.08426857673225924,0.14944491106163396,0.11577162302241797,0.28733405510422544,0.32014427001977624
